text,translation,Category
5* Lufthansa SALE: Cheap flights from Germany to many European cities and vice-versa from only €88! https://t.co/1eSv4HPhni,5* Lufthansa SALE: Cheap flights from Germany to many European cities and vice-versa from only €88! https://t.co/1eSv4HPhni,in-flight experience
"RT @AcaaiNews: .@VirginAtlantic ’s Mumbai-Heathrow flight to make available 26 tonnes of #Cargo capacity

#aviation #AvGeek 
https://t.co/l…","RT @AcaaiNews: .@VirginAtlantic ’s Mumbai-Heathrow flight to make available 26 tonnes of #Cargo capacity

#aviation #AvGeek 
https://t.co/l…",in-flight experience
"This flight opens new doors when it comes to attracting investment, creating new jobs and increasing tourism traffi… https://t.co/R49XqfwNSW","This flight opens new doors when it comes to attracting investment, creating new jobs and increasing tourism traffi… https://t.co/R49XqfwNSW",in-flight experience
"Ryanair Sun Boeing 737NG 800/W (SP-RSU, #48C233) as flight #RYR3ZP at 36000 ft heading south west bound OTT east of #RyanHQ","Ryanair Sun Boeing 737NG 800/W (SP-RSU, #48C233) as flight #RYR3ZP at 36000 ft heading south west bound OTT east of #RyanHQ",in-flight experience
Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https://t.co/bEhCO48zOn,Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https://t.co/bEhCO48zOn,in-flight experience
@AmericanAir What about my shuffleboard cue?,@AmericanAir What about my shuffleboard cue?,seating and boarding challenges
@Qantas Trying to join the Qantas Club but technical difficulties at your end preventing progress. Would be great i… https://t.co/nWhqvWxUAj,@Qantas Trying to join the Qantas Club but technical difficulties at your end preventing progress. Would be great i… https://t.co/nWhqvWxUAj,technical difficulties
"@Crozzy1971 Sorry for the inconvenience, if you wish you may submit a complaint here: https://t.co/uBey6h6Srp Ana","@Crozzy1971 Sorry for the inconvenience, if you wish you may submit a complaint here: https://t.co/uBey6h6Srp Ana",customer service complaints
@AmericanAir you going to cover my rental car and gas for having to drive to my connecting airport after canceling… https://t.co/1bSWsMagW4,@AmericanAir you going to cover my rental car and gas for having to drive to my connecting airport after canceling… https://t.co/1bSWsMagW4,flight delays and cancellations
RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,in-flight experience
@SingaporeAir Hello SQ why we cannot find SQ codeshared flights operated by @airvistara in your booking engine. Ear… https://t.co/CE32S3211i,@SingaporeAir Hello SQ why we cannot find SQ codeshared flights operated by @airvistara in your booking engine. Ear… https://t.co/CE32S3211i,booking problems
@VirginAtlantic Free money or loans?,@VirginAtlantic Free money or loans?,refund complaints
"RT @aeroTELEGRAPH: Dienstbeginn für den neuen Sitz von #Lufthansa, #Swiss und #AustrianAirlines https://t.co/bVSgLt5NhZ","RT @aeroTELEGRAPH: Start of service for the new headquarters of #Lufthansa, #Swiss and #AustrianAirlines https://t.co/bVSgLt5NhZ",customer service complaints
RT @DailyMailUK: Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https…,RT @DailyMailUK: Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https…,in-flight experience
5* Lufthansa SALE: Cheap flights from Germany to many European cities and vice-versa from only €88!… https://t.co/axbWxbz3i9,5* Lufthansa SALE: Cheap flights from Germany to many European cities and vice-versa from only €88!… https://t.co/axbWxbz3i9,in-flight experience
"@Yuber1980 So you've paid to rebook a new flight to Oslo but your original ticket has been changed free of charge,… https://t.co/4Usb4v9qkR","@Yuber1980 So you've paid to rebook a new flight to Oslo but your original ticket has been changed free of charge,… https://t.co/4Usb4v9qkR",booking problems
RT @RunVee2: Atterrati. Si accorge che si trova a Bari e non a Cagliari. 😂😂 #Ryanair volo Pisa - Bari https://t.co/yIHTk6GrUs,RT @RunVee2: Landed. He realizes that he is in Bari and not Cagliari. 😂😂 #Ryanair flight Pisa - Bari https://t.co/yIHTk6GrUs,in-flight experience
"Ryanair Boeing 737NG 8AS/W (EI-DAG, #4CA1B8) as flight #RYR93KC at 11200 ft heading north bound OTT south east of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-DAG, #4CA1B8) as flight #RYR93KC at 11200 ft heading north bound OTT south east of #RyanHQ",in-flight experience
"Ryanair Boeing 737NG 8AS/W (EI-EGA, #4CA7B6) as flight #RYR14RR at 33825 ft heading west bound OTT east of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-EGA, #4CA7B6) as flight #RYR14RR at 33825 ft heading west bound OTT east of #RyanHQ",in-flight experience
"RT @_mstephenson88: Would people have an issue over Baku if there were direct flights from London with easyJet for £85.

Fantastic city and…","RT @_mstephenson88: Would people have an issue over Baku if there were direct flights from London with easyJet for £85.

Fantastic city and…",in-flight experience
"RT @ADNOCdist: Congratulations to our 14 lucky week 6 winners, who have all won return flights for two with @EtihadAirways.

#FuelAndFly
#F…","RT @ADNOCdist: Congratulations to our 14 lucky week 6 winners, who have all won return flights for two with @EtihadAirways.

#FuelAndFly
#F…",in-flight experience
Ryanair Delays Boeing 737 MAX Deliveries Following Grounding en Ryanair https://t.co/4E5Kc8F7EE,Ryanair Delays Boeing 737 MAX Deliveries Following Grounding en Ryanair https://t.co/4E5Kc8F7EE,flight delays and cancellations
I have a spare flight from Stansted to Madrid on 1st June 06:25-10:00 if any @LFC or @SpursOfficial fans would like… https://t.co/DFgHgCfGp1,I have a spare flight from Stansted to Madrid on 1st June 06:25-10:00 if any @LFC or @SpursOfficial fans would like… https://t.co/DFgHgCfGp1,in-flight experience
"When you pay for bubble seats 11m in advance on @VirginAtlantic, &amp; find they have moved all seats, inc moving all k… https://t.co/w3tlrYL0ee","When you pay for bubble seats 11m in advance on @VirginAtlantic, &amp; find they have moved all seats, inc moving all k… https://t.co/w3tlrYL0ee",seating and boarding challenges
"Ryanair Boeing 737NG 8AS/W (EI-DHY, #4CA2AC) as flight #RYR1SW at 37025 ft heading south east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-DHY, #4CA2AC) as flight #RYR1SW at 37025 ft heading south east bound OTT west of #RyanHQ",in-flight experience
¡OFERTA! India Express. 6n. Salidas todos los lunes hasta 30Diciembre con Lufthansa. Precio final desde 1.250€ https://t.co/AGBzc53rEZ,"OFFER! India Express. 6n. Departures every Monday until December 30 with Lufthansa. Final price from €1,250 https://t.co/AGBzc53rEZ",promotion and offer issues
¡OFERTA! India Express. 6n. Salidas todos los lunes hasta 30Diciembre con Lufthansa. Precio final desde 1.250€ https://t.co/fTFwBcb9z8,"OFFER! India Express. 6n. Departures every Monday until December 30 with Lufthansa. Final price from €1,250 https://t.co/fTFwBcb9z8",promotion and offer issues
"@stanzaselvaggia Io una volta ho visto ryanair, a Ciampino, imbarcare contemporaneamente 2 voli dallo stesso gate.… https://t.co/LheZUCAS1P","@stanzaselvaggia I once saw Ryanair, at Ciampino, board 2 flights at the same time from the same gate.… https://t.co/LheZUCAS1P",seating and boarding challenges
¡OFERTA! India Express. 6n. Salidas todos los lunes hasta 30Diciembre con Lufthansa. Precio final desde 1.250€ https://t.co/IrIZWhP93v,"OFFER! India Express. 6n. Departures every Monday until December 30 with Lufthansa. Final price from €1,250 https://t.co/IrIZWhP93v",promotion and offer issues
@British_Airways Recently found out you're flying through Iranian airspace during flights to… https://t.co/bK1xXuI4a0,@British_Airways Recently found out you're flying through Iranian airspace during flights to… https://t.co/bK1xXuI4a0,in-flight experience
RT @mistameister: Ei! Money please locate me https://t.co/UIleYJzC7X,RT @mistameister: Ei! Money please locate me https://t.co/UIleYJzC7X,refund complaints
¡OFERTA! Sudáfrica: Kruger. 6 noches. Salidas domingos hasta 27Octubre con Lufthansa. Precio final dsde 1.469€ https://t.co/na7BvJc6Mr,"OFFER! South Africa: Kruger. 6 nights. Sunday departures until October 27 with Lufthansa. Final price from €1,469 https://t.co/na7BvJc6Mr",promotion and offer issues
Ryanair cambia le regole per il bagaglio a mano: ecco come funziona https://t.co/c3gGvfxEnm,Ryanair changes hand luggage rules: here's how it works https://t.co/c3gGvfxEnm,lost luggage
Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,refund complaints
Hey @Qantas how do I claim missing QFF miles from an Airbnb booking? It's been about 10wks since I checked out 😡,Hey @Qantas how do I claim missing QFF miles from an Airbnb booking? It's been about 10wks since I checked out 😡,booking problems
Hey @AmericanAir - how do I remove the “Ask Siri for your flight details” from the app? I don’t see it the settings… https://t.co/2s1reX4m3F,Hey @AmericanAir - how do I remove the “Ask Siri for your flight details” from the app? I don’t see it the settings… https://t.co/2s1reX4m3F,in-flight experience
"RT @jonathanjosephs: ✈️ How does the world's biggest airline manage the grounding of 115 flights a day because of a safety crisis?

Vasu Ra…","RT @jonathanjosephs: ✈️ How does the world's biggest airline manage the grounding of 115 flights a day because of a safety crisis?

Vasu Ra…",in-flight experience
@SingaporeAir Similar to what Emirates offers when transiting dxb. @SingaporeAir care to reply??,@SingaporeAir Similar to what Emirates offers when transiting dxb. @SingaporeAir care to reply??,promotion and offer issues
5* Lufthansa SALE: Cheap flights from Germany to many European cities and vice-versa from only €88! https://t.co/TKdMhHgNjT,5* Lufthansa SALE: Cheap flights from Germany to many European cities and vice-versa from only €88! https://t.co/TKdMhHgNjT,in-flight experience
RT @asemota: Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,RT @asemota: Why are the @British_Airways planes going to Accra filthy and old? This is a waste of money. https://t.co/PPBIzkbCUO,refund complaints
RT @AllDayIDreamOf: .@OonaDahl Dahl and Newman's mixes are now live in the air aboard @British_Airways long haul flights this May as our re…,RT @AllDayIDreamOf: .@OonaDahl Dahl and Newman's mixes are now live in the air aboard @British_Airways long haul flights this May as our re…,seating and boarding challenges
Not the first time I'm seeing this complaint. I've been on BA out of Accra only once and I was too tired to observe… https://t.co/ahuXdDjqTw,Not the first time I'm seeing this complaint. I've been on BA out of Accra only once and I was too tired to observe… https://t.co/ahuXdDjqTw,customer service complaints
"Lufthansa melhora a experiência de viagem em rotas de curta e média distância
https://t.co/GiJm6lq8ak","Lufthansa improves the travel experience on short and medium-haul routes
https://t.co/GiJm6lq8ak",in-flight experience
Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https://t.co/N1JAH6Xgpt,Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https://t.co/N1JAH6Xgpt,in-flight experience
@DamanMalone Please send us a DM with her name or record locator. Does she need assistance right now? How can we help?,@DamanMalone Please send us a DM with her name or record locator. Does she need assistance right now? How can we help?,special assistance requests
"@TheRaceRadio @AmericanAir @AlaskaAir @united It is def better if true, but really, the general luggage  “problem”… https://t.co/IAF3rm1yYV","@TheRaceRadio @AmericanAir @AlaskaAir @united It is def better if true, but really, the general luggage  “problem”… https://t.co/IAF3rm1yYV",lost luggage
RT @RunVee2: Atterrati. Si accorge che si trova a Bari e non a Cagliari. 😂😂 #Ryanair volo Pisa - Bari https://t.co/yIHTk6GrUs,RT @RunVee2: Landed. He realizes that he is in Bari and not Cagliari. 😂😂 #Ryanair flight Pisa - Bari https://t.co/yIHTk6GrUs,in-flight experience
@AmericanAir Huge shout out to Allison in DFW yesterday at gate C27 on our slightly delayed flight home to Reno. We… https://t.co/ujkYUnkW4v,@AmericanAir Huge shout out to Allison in DFW yesterday at gate C27 on our slightly delayed flight home to Reno. We… https://t.co/ujkYUnkW4v,flight delays and cancellations
RT @DailyMailUK: Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https…,RT @DailyMailUK: Moment police bundle raging easyJet passenger off flight at Gatwick after he 'locked himself in loos during landing' https…,in-flight experience
"Compare to the flight from San Francisco to London to the one between London and Accra. Same phone, same… https://t.co/7pcemDI6Cq","Compare to the flight from San Francisco to London to the one between London and Accra. Same phone, same… https://t.co/7pcemDI6Cq",in-flight experience
"@PaulatThePanel @SingaporeAir Sadly not, pretty packed schedule but if I'm able to drop in I will🥃","@PaulatThePanel @SingaporeAir Sadly not, pretty packed schedule but if I'm able to drop in I will🥃",flight information requests
RT @successfactors: The benefits of focusing on employee experience are huge. That's why @AmericanAir turned to SAP SuccessFactors:  https:…,RT @successfactors: The benefits of focusing on employee experience are huge. That's why @AmericanAir turned to SAP SuccessFactors:  https:…,in-flight experience
@easyJet I'm trying to book flights for family and cant see what the deal is with the ticket for my 2 year old daug… https://t.co/N3PBobDoQD,@easyJet I'm trying to book flights for family and cant see what the deal is with the ticket for my 2 year old daug… https://t.co/N3PBobDoQD,booking problems
RT @easyJet: @avgggva Gracias por volver a escribir Abstrusu. Debo informarle sin embargo que solo podemos responder a los mensajes en cast…,RT @easyJet: @avgggva Thanks for rewriting Abstrusu. I must inform you however that we can only respond to messages in cast…,flight information requests
"Al elegir billete de avión, ambas decidimos seleccionar el asiento aleatorio para no pagar 20€ de más. Hoy he entra… https://t.co/imbOLYnG5P","When choosing a plane ticket, we both decided to select the random seat so as not to pay €20 more. Today I entered… https://t.co/imbOLYnG5P",seating and boarding challenges
RT @Gaia_Mai_: Alla luce delle vicende del tizio sul volo Ryanair e della mia ansia da adesso in poi quando prenderò un aereo chiederò al m…,RT @Gaia_Mai_: In light of the events of the guy on the Ryanair flight and my anxiety from now on when I take a plane I will ask the m…,in-flight experience
"RT @Airlineroute: KLM this week adjusted winter 2019/20 schedule for Delhi, now displaying a mix of 747-400PAX/-400COMBI, instead of 777-20…","RT @Airlineroute: KLM this week adjusted winter 2019/20 schedule for Delhi, now displaying a mix of 747-400PAX/-400COMBI, instead of 777-20…",flight information requests
"Flight has been delayed due to mechanical, now requires 2 connections and still arrives 7+ hours late. Please help @AmericanAir","Flight has been delayed due to mechanical, now requires 2 connections and still arrives 7+ hours late. Please help @AmericanAir",flight delays and cancellations
"#worstserviceever DO NOT FLY EVER AGAIN @AirFranceFR OR @KLM 
How is one person alone supposed to move with two big… https://t.co/LTNcptzCVJ","#worstserviceever DO NOT FLY EVER AGAIN @AirFranceFR OR @KLM 
How is one person alone supposed to move with two big… https://t.co/LTNcptzCVJ",customer service complaints
